index,fips,state,lat,long,population
998,01,Alabama,32.3182,-86.9023,4903185.0
1000,04,Arizona,33.7298,-111.4312,7278717.0
1001,05,Arkansas,34.9697,-92.3731,3017804.0
1002,06,California,36.1162,-119.6816,39512223.0
1003,08,Colorado,39.0598,-105.3111,5758736.0
1004,09,Connecticut,41.5978,-72.7554,3565287.0
1005,10,Delaware,39.3185,-75.5071,973764.0
1006,11,District of Columbia,38.8974,-77.0268,705749.0
1007,12,Florida,27.7663,-81.6868,21477737.0
1008,13,Georgia,33.0406,-83.6431,10617423.0
1010,16,Idaho,44.2405,-114.4788,1787065.0
1011,17,Illinois,40.3495,-88.9861,12671821.0
1012,18,Indiana,39.8494,-86.2583,6732219.0
1013,19,Iowa,42.0115,-93.2105,3155070.0
1014,20,Kansas,38.5266,-96.7265,2913314.0
1015,21,Kentucky,37.6681,-84.6701,4467673.0
1016,22,Louisiana,31.1695,-91.8678,4648794.0
1017,23,Maine,44.6939,-69.3819,1344212.0
1018,24,Maryland,39.0639,-76.8021,6045680.0
1019,25,Massachusetts,42.2302,-71.5301,6892503.0
1020,26,Michigan,43.3266,-84.5361,9986857.0
1021,27,Minnesota,45.6945,-93.9002,5639632.0
1022,28,Mississippi,32.7416,-89.6787,2976149.0
1023,29,Missouri,38.4561,-92.2884,6137428.0
1024,30,Montana,46.9219,-110.4544,1068778.0
1025,31,Nebraska,41.1254,-98.2681,1934408.0
1026,32,Nevada,38.3135,-117.0554,3080156.0
1027,33,New Hampshire,43.4525,-71.5639,1359711.0
1028,34,New Jersey,40.2989,-74.521,8882190.0
1029,35,New Mexico,34.8405,-106.2485,2096829.0
1030,36,New York,42.1657,-74.9481,19453561.0
1031,37,North Carolina,35.6301,-79.8064,10488084.0
1032,38,North Dakota,47.5289,-99.784,762062.0
1033,39,Ohio,40.3888,-82.7649,11689100.0
1034,40,Oklahoma,35.5653,-96.9289,3956971.0
1035,41,Oregon,44.572,-122.0709,4217737.0
1036,42,Pennsylvania,40.5908,-77.2098,12801989.0
1037,44,Rhode Island,41.6809,-71.5118,1059361.0
1038,45,South Carolina,33.8569,-80.945,5148714.0
1039,46,South Dakota,44.2998,-99.4388,884659.0
1040,47,Tennessee,35.7478,-86.6923,6829174.0
1041,48,Texas,31.0545,-97.5635,28995881.0
1042,49,Utah,40.15,-111.8624,3205958.0
1043,50,Vermont,44.0459,-72.7107,623989.0
1044,51,Virginia,37.7693,-78.17,8535519.0
1045,53,Washington,47.4009,-121.4905,7614893.0
1046,54,West Virginia,38.4912,-80.9545,1792147.0
1047,55,Wisconsin,44.2685,-89.6165,5822434.0
1048,56,Wyoming,42.756,-107.3025,578759.0
